iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
79,377,6.547079121476137,0.6293639752887951,1,272,2670,1,272,1,196,40,1.5098748171413998e-05,10.0,0.14972470608638586
80,452,5.140991990305828,0.4269919899454409,43,44,3106,1,44,1,352,40,1.2287048708770108e-14,10.0,0.17224187755384535
81,1000,10.0,1.0,1,270,2354,1,270,1,778,40,0.0004574026853495027,10.0,7.723243286962369e-08
82,445,5.749221779411634,0.3864512318290128,9,62,2914,1,62,1,270,40,1.7177682577537452e-08,10.0,0.18253711910859768
83,452,2.426641935488211,0.30253302785370645,50,386,2816,1,386,1,158,40,3.2856547061773807e-13,10.0,0.17158885935719928
84,462,2.5788964123723583,0.3791215136062881,9,148,2314,1,148,1,254,40,1.4049085506175225e-12,10.0,0.16290812577080446
85,461,3.4718531643663066,0.4543955337248581,1,432,2124,1,432,1,88,40,1.0758047462054218e-13,10.0,0.17020047300643618
86,1,6.209551784483955,0.23952114330962804,1,1,2,1,1,1,1,40,3.032415072897173e-14,3.459363753943312e-14,5.330838547410846e-12
87,1000,0.0,1.0,1,925,1000,1,925,1,166,40,3.2376855152978076e-09,1.4494090620088274e-08,0.00020123267745941574
88,1,5.791730796650519,0.8890900883747357,1,1,2,1,1,1,0,40,4.881256469341507e-13,0.32728218968042533,2.1951335475844423e-06
89,1,3.4001377921475653,0.4503095697305163,1,1,100,1,1,1,0,40,1.3522181667790715e-06,10.0,1.6557833408845067e-13
90,1,0.9201303360489723,0.13576709783166854,1,1,100,1,1,1,0,40,2.832354649852267e-14,1e-15,9.049907480558834e-09
91,1000,8.13288334517702,0.5137964888398507,1,27,1000,1,27,1,0,40,7.975571287464468,1.5559891154890543e-15,1.721459038159449e-10
92,1000,1.9082163189721337,0.6670286940142685,1000,256,1000,1,256,1,746,40,2.6535172902896888e-14,10.0,0.021013716736094003
93,463,0.412414940239746,0.8973682597378883,39,461,2962,1,461,1,463,40,3.5927670341121893e-06,10.0,0.18458363230133606
94,1000,2.1394719890357097,0.27630503875768125,1,909,1000,1,909,1,1000,40,0.0002715806259603279,1e-15,6.901926939580368e-14
95,456,0.9417093414634831,0.0,65,23,2850,1,23,1,456,40,1.1245131157689847e-05,0.08076779434030408,0.18195125094382678
96,1000,6.5500179646738435,0.0716888664297403,1,219,100000,1,219,1,212,40,0.03100038549264298,1e-15,3.6954182732265966e-09
97,1,3.2843589665687167,0.7884945511812579,1,1,2,1,1,1,0,40,3.8076045574060834e-05,10.0,1.0343087101192254e-09
98,1,8.979850839406009,0.5404357303251727,1,1,100,1,1,1,0,40,2.2817352536004198e-07,10.0,7.777669034414215e-11
99,1,0.7434821984781421,0.9258491658191127,1,1,100,1,1,1,1,40,2.9489370963502164e-09,10.0,1e-15
