iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
82,1000,3.340809680381751,1.0,1000,132,1000,69,132,69,216,6843,1e-15,1.9263777660273088e-13,1e-15
83,1000,9.051980004580276,1.0,1,841,1000,100,841,100,927,557,1e-15,4.204445790335756e-06,1e-15
84,1,8.409468076262351,0.0,1,1,2,1,1,1,0,4870,1e-15,2.630342756951451e-08,1e-15
85,1000,1.9801616729450613,1.0,1000,761,100000,71,761,71,288,8768,10.0,0.0007783127777629388,10.0
86,938,8.12141911488506,0.7812105217272477,48,540,2874,1,540,1,547,6673,10.0,1.4504408926297369e-09,0.006338858379707012
87,878,9.176297220955743,0.23845389258945646,1,1,3594,1,1,1,432,1,5.246546822928953e-10,10.0,1.0124572600725127e-07
88,1000,2.367712931328863,0.4251085204807453,1,946,3186,1,946,1,581,3029,0.11704100343518847,0.2725611172915214,1.3997491550683969e-06
89,997,1.1293038410838787,0.34138113190717423,1,168,3288,1,168,1,968,7595,0.12304693997941428,10.0,5.029488776865303e-07
90,832,4.780555966552377,0.29790037279069287,1,826,3754,1,826,1,252,1,4.1086724800425424e-14,10.0,1.0975331977339914e-08
91,886,2.780691650156099,0.3531903364379907,1,13,3964,1,13,1,689,1,2.9588621524849403e-08,10.0,1.005564814680377e-08
92,690,0.9561784764918101,0.2514602094400088,1,180,3298,1,180,1,372,1,3.695471481482316e-12,2.933579475417968,4.76403381053298e-09
93,578,3.028984393484755,0.27376875595513694,1,188,2750,2,188,2,237,817,9.57172256089031e-09,3.3606074511468907e-12,3.0524237957793565e-09
94,1,7.813810448524952,0.0,1,1,2,25,1,25,1,4911,4.221273954908312e-15,4.019385655166889,1e-15
95,1,6.396992422878068,1.0,1,1,2,26,1,26,0,8074,1.6895927398067022e-08,9.46050578913087e-10,10.0
96,963,6.982645266798871,0.8713864005223744,1,623,3778,1,623,1,102,8477,2.576577478207527e-08,10.0,0.0502057839717979
97,1,1.827571036384471,0.0,1,1,100,100,1,100,1,2540,5.745517970003362e-08,0.003226518473379014,1e-15
98,988,8.06742478302893,0.7061071707883834,75,586,1316,1,586,1,0,7490,5.361194824367042e-08,10.0,0.0012275930998896494
99,732,5.634935718500458,0.277525231026578,11,224,3122,1,224,1,243,7768,1.4014188705078176e-09,2.0013917513684185e-06,2.3730928486914638e-09
